user_cluster_id,U_Emb_0,U_Emb_1,U_Emb_2,U_Emb_3,U_Emb_4,U_Emb_5,U_Emb_6,U_Emb_7,U_Emb_8,U_Emb_9,U_Emb_10
0,8434638.446277712,126.80204769690786,103.32610428678073,110.91950784367967,-14.409153353447746,-38.82961029924721,19.29641997078613,0.07753427128428982,-3.234155570736257,4.2165700631108525,-0.019278025308534133
1,5920224.757930946,-44.70952890306945,-101.93472313081834,108.46402899537415,-35.63944805488808,-31.26224467117526,-36.50208826932054,11.54895121293427,-4.618464874302561,-2.3713182959856445,-0.05267197120456103
2,9719392.100878855,-57.73570155821391,-35.003666200365615,-110.94835560987565,-86.73429576942759,34.47981470335168,8.301579973055889,14.456348386049097,-0.9014992384051227,2.1535862005400417,0.010165974151990439
3,13230097.524467865,-269.1355313018923,-51.29240004131339,-36.6219074879438,33.31786601516542,-44.4585019967672,21.48833749021517,-3.369974027657956,3.705177504084629,0.06363677970106801,0.012011565639905903
4,8678580.162661579,1.4506010516442005,-83.9202281968022,64.84465487380946,-40.329246684780195,24.44841001937979,-20.22950958811902,-27.079055420783117,0.5155280302100508,0.831152650049938,0.03897926994391468
5,347849.63189628633,21.273054368794515,-27.430398421668315,-4.327552286615777,7.031496148372598,10.263125213312732,-16.058248858312805,-0.5114353080651863,9.344876609207732,1.979539192367201,-0.145210259255485
6,10061770.638383359,298.8803365300077,-93.92062269121621,-79.27832062261939,-1.9604359106371978,-23.39552257672025,16.551375549914656,-0.2694011868949894,3.285610675826909,-2.4506195618485447,0.009463800662655368
7,9225405.404214952,-20.68576361647693,137.18355502048576,134.46229275654264,-14.61128479740253,33.441508969146454,14.189525002918765,6.252485723391043,6.2484721597804,-3.023478888955137,0.018089823335517084
8,12309670.248212274,17.391251811826454,173.02342697300816,-118.17831741214508,30.972012758646848,-0.6220734758969991,-43.027129112104866,-3.052087600879181,-2.68052254296217,-0.5423191267903267,-0.009594374225902154
9,1267196.0769674815,-42.295030397013726,32.823947816779764,-32.87271952562401,-18.62197933197303,14.844926285920964,36.49177216974017,-12.06328101392218,-6.8685787119588495,-2.330923973298101,-0.11567739995166304
10,9590885.623343615,33.37564380710736,-104.61972560061673,49.788292749091326,91.66548355327298,48.55111578244935,5.784625487996693,7.102903363114862,-4.417191726474674,1.1446403525120963,-0.007140173901961313
