video_cluster_id,V_Emb_0,V_Emb_1,V_Emb_2,V_Emb_3,V_Emb_4,V_Emb_5,V_Emb_6,V_Emb_7,V_Emb_8,V_Emb_9,V_Emb_10
0,0.030155192531329547,0.09079496629384,-0.23399369331416114,-0.20448143587017562,-0.5288113825583439,-0.22166716050156476,-0.04635729319387464,0.17738410448755826,0.19764163523201828,-0.2734667815281918,0.5718511331204419
1,1.2334648570746822,-1.6970093969917832,1.2761404020760574,-1.4062480913815194,4.3833830552680855,-0.37869532298589137,-1.5647271815405817,-0.3643244671872758,-0.35858528292062863,0.06640765431436407,0.05959409463999497
2,0.990637273221452,0.040230090217838334,-1.3985827748744466,-0.8317689629184415,1.600609140902343,-2.42799840567994,3.070716126909969,0.18911589915232616,0.08428789046192547,-0.5271414384479528,-0.02458532457033075
3,2.592953215114493,-1.234168892855293,5.187882932305261,-1.51209667065934,-0.5292725562818436,0.8963957277922547,1.7647580056669512,0.765685561576335,-0.6190044384187076,0.2532285238796853,0.02948862249931818
4,0.6410165006765377,0.5395773089126924,0.5646683004189381,-2.2673928416937352,-0.5962377424819968,-0.35822944747019125,-1.4933377155197944,1.8065927829606434,0.21269781082232467,-1.240617124563052,-0.09101774039105597
5,1.041563999493851,-1.1399226765173731,1.5974572352604552,0.42661890244484824,0.734569798494193,0.8250934560749291,0.41147532654173763,-0.18000765762169155,2.330532211972344,-0.06408553576802115,-0.023334099514558466
6,2.1164816853392416,4.452639690740179,2.807373519612336,4.091513431084595,0.9976303260384255,-0.8510638190081061,-0.2300888490021027,0.16567552173283903,-0.10487517091849127,-0.3174134046925884,0.008120940825302406
7,1.8908148486128233,0.802300537076086,-0.03783174971167774,-0.6351710374253077,-0.21649497686172509,-2.292650521817775,-0.6770423881667328,1.6377010840512238,0.48939643357136325,1.2815696143190034,0.01033879073835945
8,1.1257477246074603,0.12593672285302013,-2.308379235295728,1.6567785738178495,1.8000912697959868,2.5846491427637455,0.8355422577803449,1.9699644323100673,-0.1665287088771486,0.15740381884676152,0.025705321986066468
9,2.0566539190049986,5.542537817034017,-0.36447488290782587,-3.6818746232952084,0.6190576468918237,1.266344238434474,0.386057907225518,-0.5733695548239943,0.224279041480541,0.2584746894094251,0.011075881199298799
10,309.67463055950606,-0.052925260453214,-0.05871082743993519,0.018545888353882673,-0.035484664122193345,0.0017667981807224938,-0.016550426883965182,-0.023201658358035962,-0.005111929022655195,-0.0058327824810919665,-0.0004800673342961364
